Relabel to front
0 23 973
0 2 950
0 17 935
0 80 973
0 58 981
0 42 1000
0 96 994
0 49 900
0 33 919
0 62 964
0 28 916
0 68 998
0 29 926
0 70 954
0 72 991
0 64 996
0 50 953
0 82 923
0 54 959
0 88 957
0 69 961
0 32 935
0 92 922
0 98 983
0 39 943
0 85 910
0 45 985
0 31 933
0 10 977
0 76 959
0 71 965
0 56 976
0 65 926
0 11 964
0 55 975
0 81 995
0 66 979
0 5 978
0 38 903
0 25 951
0 90 940
0 7 933
0 97 966
0 13 963
0 77 992
0 89 944
0 57 991
0 52 903
0 21 934
0 1 952
0 73 980
0 24 944
0 78 933
0 19 968
0 20 942
0 16 953
0 44 935
0 37 905
0 8 954
0 27 985
0 83 984
0 35 934
0 47 945
0 14 992
0 46 980
0 4 974
0 15 974
0 79 977
0 84 957
0 94 988
0 48 984
0 34 942
0 63 996
0 9 903
0 61 931
0 95 920
0 30 958
0 87 943
0 26 933
0 99 926
0 6 986
0 53 945
0 75 951
0 91 940
0 93 986
0 22 953
0 74 972
0 67 960
0 86 973
0 12 992
0 3 943
0 36 967
0 40 955
0 41 920
0 18 964
0 51 988
0 43 993
0 60 920
0 59 964
23 99 917
2 99 907
2 5 0
2 40 0
2 24 0
2 61 0
17 40 0
17 5 0
17 99 809
80 99 964
80 38 9
80 18 0
58 3 195
58 99 786
58 51 0
42 99 939
96 84 35
96 27 339
96 19 276
96 99 0
49 67 38
49 14 266
49 99 592
33 63 0
33 84 0
33 99 318
62 99 910
62 49 54
28 51 0
28 99 489
28 14 0
28 19 0
68 48 104
68 27 0
68 99 0
68 77 0
29 99 905
70 99 952
70 50 2
70 92 0
70 75 0
70 72 0
72 84 0
72 99 331
72 24 0
72 55 0
72 44 0
64 99 976
64 56 20
64 73 0
50 99 955
50 38 0
82 99 923
82 71 0
54 75 2
54 20 60
54 68 0
54 92 0
54 52 0
54 96 0
54 99 0
54 71 0
88 99 957
88 29 0
69 99 961
32 99 932
32 62 0
32 77 0
32 78 0
92 85 736
92 99 186
92 60 0
98 7 32
98 99 630
98 62 0
98 40 0
39 4 656
39 85 198
39 99 89
85 15 556
85 99 972
85 37 149
45 23 0
45 99 964
45 78 21
31 99 933
31 35 0
31 36 0
31 91 0
31 96 0
31 23 0
10 99 909
10 22 0
10 26 0
76 99 942
71 91 0
71 99 77
71 66 0
71 93 0
56 69 0
56 92 0
56 99 995
56 86 1
65 99 926
65 96 0
11 4 151
11 99 813
55 99 908
81 99 961
81 57 34
81 49 0
66 99 969
66 20 21
66 9 0
66 73 0
66 57 0
5 99 960
38 99 901
38 66 11
25 96 0
25 11 0
25 2 0
25 99 951
25 57 0
25 6 0
25 10 0
90 19 611
90 50 0
90 99 329
90 36 0
7 99 965
97 99 966
97 52 0
13 42 60
13 99 903
13 98 0
77 99 923
77 23 64
89 6 12
89 99 398
57 65 63
57 99 962
57 70 0
57 11 0
52 99 903
52 7 0
21 84 0
21 98 0
21 55 0
21 99 689
1 69 0
1 36 0
1 65 0
1 99 584
73 48 616
73 10 0
73 94 55
73 28 0
73 99 0
24 65 0
24 99 905
24 55 0
24 53 0
78 69 0
78 94 90
78 99 864
19 40 0
19 8 186
19 99 850
20 99 996
20 17 27
20 23 0
20 13 0
16 55 0
16 84 0
16 99 483
44 52 0
44 99 935
44 9 0
37 91 0
37 99 864
8 98 163
8 99 977
8 78 0
27 42 330
27 99 994
83 30 70
83 40 491
83 32 0
83 81 0
83 99 423
35 98 0
35 65 0
35 90 0
35 99 934
47 99 945
14 99 974
14 20 0
14 41 284
46 34 684
46 24 0
46 58 0
46 53 0
46 99 0
4 57 0
4 86 177
4 54 0
4 22 0
4 99 0
4 70 0
15 25 113
15 50 214
15 99 943
15 81 260
79 18 538
79 99 439
84 99 992
94 36 181
94 99 952
48 10 746
48 99 958
34 25 666
34 99 960
63 99 924
63 24 72
9 99 903
9 50 0
61 99 931
61 59 0
61 79 0
95 99 920
30 27 0
30 73 41
30 44 0
30 99 987
87 23 0
87 51 400
87 38 0
87 53 543
87 99 0
26 73 2
26 99 931
6 99 998
6 38 0
53 84 0
53 14 0
53 88 579
53 99 909
53 81 0
75 71 0
75 99 953
75 15 0
75 52 0
91 99 916
91 8 24
93 83 72
93 99 914
93 20 0
22 84 0
22 65 4
22 99 949
74 10 10
74 99 917
74 86 45
74 66 0
74 63 0
67 99 998
86 40 264
86 99 932
12 13 0
12 39 0
12 37 0
12 99 992
3 17 146
3 99 992
3 94 0
36 99 904
36 37 244
40 99 926
40 69 340
40 31 444
41 36 0
41 81 280
41 99 924
41 77 0
18 26 0
18 56 67
18 59 472
18 68 0
18 99 963
51 88 413
51 99 975
51 78 0
43 80 48
43 99 945
60 41 0
60 50 0
60 99 920
59 99 927
59 84 0
59 28 509
